Data,Migraine,1 Betulaceae (1),2 Compositae (2),3 Corylaceae (3),4 Fagaceae (4),5 Gramineae,6 Oleaceae (5),7 Plantaginaceae,8 Urticaceae,9 Cupr./Taxaceae,10 Cheno-Amarantacee,11 Polygonaceae,12 Euphorbiaceae,13 Myrtaceae,14 Ulmaceae,15 Platanaceae,16 Aceraceae,17 Pinaceae (6),18 Salicaceae (7),19 Cyperaceae,20 Cannabaceae,21 Caprifoliaceae (8),22 Ericaceae,23 Ginkgoaceae,24 Hippocastanaceae,25 Juglandaceae,26 Juncaceae,27 Lauraceae,28 Leguminosae,29 Mimosaceae,30 Moraceae,31 Palmaceae,32 Papaveraceae,33 Saxifragaceae,34 Tiliaceae,35 Umbelliferae,36 Vitaceae,41 ALTRI (9),42 NON IDENTIF. (10),43 TOTALE POLLINI (11),44 Alnus,45 Betula,46 Ambrosia,47 Artemisia,48 Alternaria,49 Botrytis,50 Epicoccum,51 Corylus,52 Carpinus/Ostrya,53 Olea,54 Fraxinus excelsior/ornus,55 Cladosporium,56 Stemphylium,57 Torula,58 Helmintosporium,59 Pithomyces,60 Polytrincium,61 Agrocybe,62 Arthrinium,63 Chaetomium,64 Curvularia,65 Entomophthora,66 Oidium,67 Periconia,68 Peronospora,69 Pleospora,70 Puccinia,71 Castanea,72 Fagus,73 Quercus,74 Ligustrum,75 Larix,76 Populus,77 Salix,78 Sambucus,79 Ailanthus,80 Parietaria,81 Urtica membranacea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2017,0,"8,64",0,"5,76","35,52","0,96","4,32",0,0,0,0,"0,48",0,0,0,"2,88",0,0,"9,6",0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,"8,64","77,76",0,"8,64",0,0,0,0,0,0,"5,76",0,"4,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,52",0,0,0,"9,6",0,0,0,0
04/04/2017,0,"22,08",0,"14,88","93,6","5,28","12,48",0,"2,88","10,08",0,"2,88",0,0,0,"29,28",0,0,"4,8",0,0,0,0,0,0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,"19,2","219,84",0,"22,08",0,0,0,0,0,0,"14,88",0,"12,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"93,6",0,0,0,"4,8",0,0,0,0
05/04/2017,0,"7,68","0,48","3,36","89,76","1,92","0,48",0,"1,92","1,92",0,0,0,0,0,"9,6",0,0,"1,92",0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,"5,28","124,8",0,"7,68",0,0,0,0,0,0,"3,36",0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,76",0,0,0,"1,92",0,0,0,0
06/04/2017,0,"7,68",0,"10,08","99,84","1,92",0,0,"1,92","0,48",0,"0,48",0,0,0,"8,16",0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,12","140,64",0,"7,68",0,0,0,0,0,0,"10,08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"99,84",0,0,0,"0,96",0,0,0,0
07/04/2017,0,"2,4",0,"4,32","36,48","5,28","2,4",0,"11,04",0,0,0,0,0,0,"9,6",0,"0,96",0,0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,"8,64","82,08",0,"2,4",0,0,0,0,0,0,"4,32",0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,48",0,0,0,0,0,0,0,0
08/04/2017,0,"4,32",0,"4,8","27,36","3,36","2,4","0,48","7,2","0,48",0,"0,48",0,0,0,"4,8",0,0,0,0,0,0,0,0,0,"1,44",0,0,0,0,"7,68",0,0,0,0,0,0,0,"6,24","71,04",0,"4,32",0,0,0,0,0,0,"4,8",0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,36",0,0,0,0,0,0,0,0
09/04/2017,0,"3,84","0,48","1,44","42,72","3,36","4,8","0,48","15,36","0,48",0,"0,48",0,0,0,"9,6",0,0,"0,96",0,0,0,0,0,0,"2,4",0,0,0,0,"11,52",0,0,0,0,0,0,0,"14,4","112,32",0,"3,84",0,0,0,0,0,0,"1,44",0,"4,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37,92",0,0,0,"0,96",0,0,0,0
10/04/2017,0,0,0,"2,88","15,36","5,28","1,92",0,"3,36",0,0,"1,44",0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,8",36,0,0,0,0,0,0,0,0,"2,88",0,"1,92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,36",0,0,0,0,0,0,0,0
11/04/2017,0,"4,32",0,0,"27,36","4,32",0,0,"15,36",0,0,"1,92",0,0,0,0,0,"1,92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,72","61,92",0,"4,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,36",0,0,0,0,0,0,0,0
12/04/2017,0,0,0,0,"9,12","5,76","1,92",0,"5,76","9,12",0,0,0,0,0,0,0,"1,92",0,0,0,0,0,0,0,"2,88",0,0,0,0,"4,32",0,0,0,0,0,0,0,"3,84","44,64",0,0,0,0,0,0,0,0,0,0,"1,92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,12",0,0,0,0,0,0,0,0
13/04/2017,0,"0,96",0,0,"10,08","0,96","1,92",0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,"2,4","21,12",0,"0,96",0,0,0,0,0,0,0,0,"1,92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,08",0,0,0,0,0,0,0,0
14/04/2017,0,0,0,"6,72","21,12","3,84","0,96",0,"4,32","0,96",0,"1,44",0,0,0,0,0,"2,4",0,0,0,0,0,0,0,"0,48",0,0,0,0,"2,88",0,0,0,0,0,0,0,"2,4",48,0,0,0,0,0,0,0,0,"6,72",0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,12",0,0,0,0,0,0,0,0
15/04/2017,0,"0,48",0,"0,96","5,28","3,36","0,96",0,"2,4","2,4",0,"0,48",0,0,0,"0,48",0,"1,92",0,0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,"3,84","23,04",0,"0,48",0,0,0,0,0,0,"0,96",0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,28",0,0,0,0,0,0,0,0
16/04/2017,0,"0,48",0,"1,44",12,"4,8","0,96","0,48",,"0,96",0,0,0,0,0,0,0,"32,64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,32","57,6",0,"0,48",0,0,0,0,0,0,"1,44",0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
17/04/2017,0,0,0,"0,48","10,08","31,2",0,0,"2,88","0,96",0,0,0,0,0,"0,48",0,"11,04",0,0,0,0,0,0,0,"0,48",0,0,0,0,"0,48",0,0,0,0,0,0,0,"17,76","75,84",0,0,0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,08",0,0,0,0,0,0,0,0
18/04/2017,0,"0,48","0,48","0,96","17,28","6,24","0,96","0,96","2,88","6,72",0,"0,96",0,0,0,0,0,"96,48",0,0,0,0,0,0,0,"0,96",0,0,0,0,"0,96",0,0,0,0,0,0,0,"4,8","141,12",0,"0,48",0,0,0,0,0,0,"0,96",0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,28",0,0,0,0,0,0,0,0
19/04/2017,0,"0,48",0,0,"3,36","1,92",0,0,"0,48","0,96","0,96",0,0,0,0,"0,48",0,"4,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,72","19,68",0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,36",0,0,0,0,0,0,0,0
20/04/2017,0,0,0,"0,48","6,24","12,48","2,4",0,"0,96","1,92","0,48",0,0,0,0,"0,48",0,"20,16",0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,04","57,6",0,0,0,0,0,0,0,0,"0,48",0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,24",0,0,0,0,0,0,0,0
21/04/2017,0,0,0,0,"2,4","8,64","0,48",0,"0,96","0,48",0,0,0,0,0,0,0,"8,64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,4",24,0,0,0,0,0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,4",0,0,0,0,0,0,0,0
22/04/2017,0,0,0,0,0,"11,52","0,48",0,"0,48","0,48",0,"0,96",0,0,0,0,0,"1,92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,28","21,12",0,0,0,0,0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/04/2017,0,0,0,0,0,"13,92",0,0,"0,96","0,48","0,48","0,48",0,0,0,0,0,"1,44",0,0,0,0,0,0,0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,"3,36","21,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/04/2017,0,0,0,"0,48","2,4","26,4","2,4",0,"1,44","2,4",0,0,0,0,0,0,0,"4,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,72","47,04",0,0,0,0,0,0,0,0,"0,48",0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,4",0,0,0,0,0,0,0,0
25/04/2017,1,0,0,0,"3,36","6,24","0,48",0,"2,4","0,96",0,"0,96",0,0,0,0,0,"5,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,8","22,96",0,0,0,0,0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,36",0,0,0,0,0,0,0,0
26/04/2017,0,0,0,0,"0,96","0,48",0,0,0,0,0,0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,96","3,36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0
27/04/2017,0,0,0,0,"0,48","0,96",0,0,0,0,0,0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,48","2,88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0
28/04/2017,0,0,0,"0,96","0,96","3,84","0,48",0,0,0,0,0,0,0,0,0,0,"17,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,24","30,24",0,0,0,0,0,0,0,0,"0,96",0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0
29/04/2017,0,0,0,0,0,"48,96",0,0,"0,48",0,0,"0,96",0,0,0,0,0,"5,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,32","60,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/04/2017,0,0,0,"0,96",0,24,"0,48",0,"0,96",0,0,0,0,0,0,0,0,"1,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,28","33,12",0,0,0,0,0,0,0,0,"0,96",0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2017,0,0,0,0,3,63,0,0,2,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
02/05/2017,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2017,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/05/2017,0,0,0,0,0,6,0,0,10,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2017,0,0,0,0,0,26,0,3,8,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/05/2017,0,0,0,0,3,37,0,0,4,0,0,1,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
07/05/2017,0,0,0,0,5,11,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
08/05/2017,0,0,0,0,0,53,0,3,15,0,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/05/2017,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/05/2017,0,0,0,2,0,12,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/05/2017,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/05/2017,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/05/2017,0,0,2,0,0,54,0,1,8,4,2,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/05/2017,0,0,6,5,0,162,0,6,0,15,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,260,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/05/2017,1,0,0,0,0,"12,96",0,0,"0,48",0,0,0,0,0,0,0,0,"34,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,68","55,68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/05/2017,0,0,0,0,0,"27,36",0,"0,48","0,96","2,4",0,0,0,0,0,0,0,"21,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,12","61,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/05/2017,0,0,0,0,0,"71,04",0,"0,48","2,4","0,48",0,0,0,0,0,0,0,"16,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,8",108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/05/2017,0,0,"0,48",0,0,"51,84",0,0,"2,88",0,0,0,0,0,0,0,0,"18,72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,48","86,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/05/2017,0,0,0,0,0,"14,4",0,"0,96","0,48","0,48",0,0,0,0,0,0,0,"6,72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,68","30,72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/05/2017,0,0,0,0,0,"10,56",0,0,0,0,0,"1,44",0,0,0,0,0,"23,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,64","43,68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/05/2017,0,0,0,0,0,"19,68",0,"0,96","2,88","0,48",0,"1,92",0,0,0,0,0,"5,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,84","35,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/05/2017,0,0,0,0,0,"2,4",0,"0,48","0,96",0,0,"0,48",0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,44","6,72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/05/2017,0,0,"0,48",0,"1,92","6,24",0,0,"2,4","0,48",0,0,0,0,0,0,0,"4,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,36","19,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,92",0,0,0,0,0,0,0,0
24/05/2017,0,"0,48",0,0,0,"5,76",0,"0,48","2,4","0,48",0,"0,96",0,0,0,0,0,"5,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,2","23,04","0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/05/2017,0,0,"0,48",0,0,"9,6",0,0,"1,92","1,44",0,"0,96",0,0,0,0,0,"23,52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,76","44,16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/05/2017,0,0,0,0,0,"9,12",0,"0,96","6,72","0,96",0,0,0,0,0,0,0,"0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,28","25,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/05/2017,0,"0,96",0,0,0,"6,72",0,"0,96","3,36",0,0,"0,48",0,0,0,0,0,"1,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,92",0,0,0,"4,8","20,64","0,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/05/2017,0,"0,96",0,0,0,"6,24",0,0,"2,4",0,0,"0,96",0,0,0,0,0,"3,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,92","16,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/05/2017,0,0,0,0,0,"8,16",0,0,"2,4","1,92","0,96",0,0,0,0,0,0,"2,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,44",0,0,0,"0,48","17,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/05/2017,0,0,0,0,0,"9,6","0,48","0,48","2,4","2,4","0,96",0,0,0,0,0,0,"0,48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,88",0,0,0,"3,84","23,52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/2017,0,0,0,0,"2,4","13,44",0,0,"1,92","3,36",0,0,0,0,0,0,0,"16,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,92",0,0,0,"1,44","40,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,4",0,0,0,0,0,0,0,0,0,0
01/06/2017,0,0,"1,92",0,"5,28","11,04",0,0,0,"1,44","0,48",0,0,0,0,0,0,"5,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,4",0,0,0,"1,92","29,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,28",0,0,0,0,0,0,0,0,0,0
02/06/2017,0,0,"0,96",0,"1,92","23,52",0,0,"1,92",0,0,"0,96",0,0,0,0,0,"2,88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,92",0,0,0,"1,92",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,92",0,0,0,0,0,0,0,0,0,0
